Recreation Centers,Westwood Recreation Complex,http://www.laparks.org/dos/reccenter/facility/westwoodRC.htm,34.053472,-118.44793
Outdoor Fitness Equipment,Tiara Street Park,,34.178441,-118.382361
Parks,Van Nuys Park,http://www.laparks.org/dos/reccenter/facility/VanNuysRC.htm,34.19405925,-118.4446325
Hiking Trails,Aliso Canyon Park,http://www.laparks.org/dos/parks/facility/alisoCanyonPk.htm,34.27891,-118.526823
Parks,Yucca Park,http://www.laparks.org/dos/parks/facility/yuccaPk.htm,34.10331572,-118.3355345
Parks,Crestwood Hills Park,http://www.laparks.org/dos/reccenter/facility/crestwoodHillsRC.htm,34.07661042,-118.4889191
Recreation Centers,East Wilmington Greenbelt Community Center,http://www.laparks.org/dos/reccenter/facility/EastwilmingtonGrnBeltComC.htm,33.78265654,-118.2503383
Recreation Centers,Queen Anne Recreation Center,http://www.laparks.org/dos/reccenter/facility/queenAnneRC.htm,34.05036819,-118.3329434
Recreation Centers,Metro/Pacific Municipal Sports,http://www.laparks.org/dos/sports/sports.htm,34.13325553,-118.2728568
Parks,Serrania Avenue Park,http://www.laparks.org/dos/parks/facility/serraniaPk.htm,34.15751,-118.585927
Recreation Centers,Shatto Recreation Center,http://www.laparks.org/dos/reccenter/facility/shattoRC.htm,34.067447,-118.289338
Parks,Culver Slauson Park,http://www.laparks.org/dos/parks/facility/culverSlausonPk.htm,33.993614,-118.406907
Parks,Griffith Park - Bronson Canyon,http://www.laparks.org/dos/parks/facility/bronsonCanyonGP.htm,34.127171,-118.31077
Parks,Hazard Park,http://www.laparks.org/dos/parks/facility/hazardPk.htm,34.06067723,-118.2008547
Parks,Sylmar Park,http://www.laparks.org/dos/parks/facility/sylmarPk.htm,34.30827253,-118.4445011
Skate Parks,Wilmington Skate Park (Ambassador Skate Park),http://www.laparks.org/dos/parks/skateparks/wilmingtonSkatePk.htm,33.77313982,-118.2686791
Parks,Greayer's Oak Mini Park,http://www.laparks.org/dos/parks/facility/graeyorsOakPk.htm,34.09023935,-118.2124151
Parks,Briarwood Park,http://www.laparks.org/dos/parks/facility/briarwoodPk.htm,34.119035,-118.443947
Tennis Courts,Sycamore Grove Tennis Courts,http://www.laparks.org/dos/parks/facility/sycamorePk.htm,34.101465,-118.201347
Parks,Media Park,http://www.laparks.org/dos/parks/facility/mediaPk.htm,34.02647,-118.39306
Parks,De Longpre Park,http://www.laparks.org/dos/parks/facility/deLongprePk.htm,34.095934,-118.334692
Parks,Vista Hermosa Park,http://www.laparks.org/dos/parks/facility/vistaHermosaPk.htm,34.06195635,-118.2582994
Universally Accessible Playgrounds,Hazard Recreation Center,http://www.laparks.org/dos/reccenter/facility/hazardRC.htm,34.060295,-118.200702
